image	caption
/content/MediaEval_NewsImages/Training Dataset/UVYKAwxVVEEpUUFXBgtXXFtURC8DQVZc.jpg	New Corona virus strain: Now Kraken also appeared in Russia A new sub-variant of the Omikron variant of the coronavirus is currently spreading in Europe. The first case of a crack infection was also known in Russia. However, unlike the WHO, the Russian authorities do not see any reason to worry.
/content/MediaEval_NewsImages/Training Dataset/UVYKAw1ZAEN-XR8FAA5WWlpSQi0ATFFX.jpg	Western Union: Money transfers from USA to Cuba Among other things, because of US sanctions, Cuba is in a deep economic crisis. Many families depend on the help of their relatives in the USA. Many Cubans are delighted that Western Union will be able to repay transfers from the USA as part of a pilot project.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVldVEB-XR8FAA5WWlpSQi0ATAJR.jpg	Ball now lies with Turkey: Sweden outlines its future role in NATO Turkey continues to block Sweden's inclusion in NATO. The main obstacle here seems to be the issue of extradition of terrorist suspects. For the first time, the Swedish Prime Minister commented on concrete aspects of Sweden's integration into NATO.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVhcV0t-XR8FAA5WW1tdR3sGQQEE.jpg	Goldman Sachs: Oil prices could rise to over 100 dollars According to current forecasts, China's economic reopening could massively fire oil prices. And this, despite expected increases in production, as these will probably not be enough to meet increased demand.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVteXEN-XR8FAA5QUAtWRXoGSwRV.jpg	Henry Kissinger, Merkel and her revelations! Putin's Russia before the smash? Based on this assessment, he examines the current developments in geopolitics, the aims of the West in disassembling with a strong Russia, and also looks at the Germans, of whom he believes (too) many still remain silent.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVgLXBYpUUFXBgtTWglRRH5SQFME.jpg	Kazakhstan's first president loses privilege as an honorary senator Since 2010, the first Kazakh President Nursultan Nasarbajew, who was in charge of the nation until 2019, had special privileges and powers. The corresponding law should now be repealed. Among other things, Nasarbaiev loses his title of an honorary senator.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVtdXEMpUUFXBgtTXVtVQi8DGl9S.jpg	Review of Valletta and Athens: Surprising little Russian fortune frozen In the course of sanctions against Russia, around EUR 20 billion has been frozen in assets across the EU. Most Member States are on the list of fixed assets at billions or millions, but not Greece and Malta.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVhcARYpUUFXBgtTXVxQQylSTFRQ.jpg	Climate Researcher calls for personal CO2 limit – is the digital climate pass now? Climate researcher Hans Joachim Schellnhuber requests an individual CO2-Gren Currently, the average consumption is about 10 tonnes in Germany, Schellnhuber would like to limit it to three. A climate pass could help.
/content/MediaEval_NewsImages/Training Dataset/UVYKAAtZVBR-XR8FAA5VWAlRRnJdQANd.jpg	The new reality in the EU: loss of prosperity for all The EU has forgotten geoeconomy in sanctions, writes EU observer Eric Bonse. Trade relations are new and past the EU. For the citizens of the EU, permanent loss of prosperity means. The EU has abandoned the objectives of prosperity and peace.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVhYUhcpUUFXBgtTWg4ARyoGH1BR.jpg	Where is diplomacy? No convergence between Russia and Ukraine in sight Leaders of Russia and Ukraine know exactly why Russia is fighting in Ukraine. However, they are further removed from a negotiated solution.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVleUUYpUUFXBgtXXA5WRS9TGANX.jpg	Promise Bradley-Panzer: US military wants to train Ukrainian soldiers in Grafenwöhr According to information from the U.S. Department of Defense, the Bavarian Grafenwöhr is about to start training Ukrainian soldiers to the Bradley doctors guaranteed by the USA. However, the Ukrainians should be trained in the US at the Patriot weapon system.
/content/MediaEval_NewsImages/Training Dataset/UVYKAw9aBkt-XR8FAA5WW14DRn9UTlYH.jpg	Ballweg's defense team: There will be no deal After a further detention appointment by Michael Ballweg, the defense on Wednesday in a press conference represented the legal situation and the disregard for basic legal standards in the case of the founder of the Quer Denk. This will be done next by the Federal Constitutional Court. Ballweg won't get into a deal.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVkMAEEpUUFXBgtTWg4ARyoGH1IG.jpg	New Zealand Maori contact Elite Auction House with a request They argue that many Maori estimates have been looted during colonial times.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVgIAxF-XR8FAA5WWlhRRigDTlAE.jpg	About half of the citizens affected by poverty are dispensed with by social assistance Studies show that in Germany about half of all citizens affected by poverty are entitled to claim This reduces their income by an average of 30 percent. People abandoned it mainly from shame and fear of stigmatization.
/content/MediaEval_NewsImages/Training Dataset/UVYKAwxaVEZ-XR8FAA5WWlpSQi0ATF5S.jpg	The liberation of Soledar will create a domino effect in Donbass The seizure of Soledar announced by the Russian Wagner Group significantly weakens the Ukrainian defense in Donbass. Military experts expect a Domino effect and a subsequent liberation of the entire territory of the Donetsk People's Republic.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVhfVUF-XR8FAA5WWlsARnsBQFJU.jpg	Can potentially kill – Police union welcomes reinforcement of arms law After the riots in the New Year's Eve, the debate about stricter rules is rekindled, among other things, for the purchase of firearms. The police union also calls for better controls on arms law.
/content/MediaEval_NewsImages/Training Dataset/UVYKAwoOBkp-XR8FAA5WWlhRRigDTwYA.jpg	Waleri Gerassimow appointed new commander of Russian troops in Ukraine On Wednesday evening, the Russian Ministry of Defence appointed Chief General Waleri Gerassimow as Commander of Special Military Operations in Ukraine. The former commander Sergei Surowikin is now acting as his deputy.
/content/MediaEval_NewsImages/Training Dataset/UVYKAwwOAEopUUFXBgtXXFVWQS8HTVFT.jpg	SPD Group in position paper for more diplomacy – Melnyk gives history lessons In the SPD, the party-internal dispute continues about the future foreign policy course and, in particular, the handling of Russia. The SPD federal parliament group now has a position paper that is less radically russophobic than in the meantime statements of party leadership. Melnyk is of course right away.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVsIURMpUUFXBgtTXVxQQylSTFBR.jpg	Previous Swoboda MEPs encourage grandson to beat Russian children The hatred of Russians and Russian speakers has not been propagated in Ukraine at state and ideological level since February last year, not even since 2014. He has been bred and planted for decades. One of the pioneers of Russian hatred has come to word on the weekend.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVpZB0N-XR8FAA5XW11QQS1QH19R.jpg	Hamburg: AfD politicians are outrageous and bleeding – is the antifa behind it? In Hamburg, an AfD politician is beaten by two men. In Erfurt, two supposedly right extremes of eight masked persons are seriously injured by hitting and pepper spray. The perpetrators are assigned to the left extreme milieu.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVpbBEV-XR8FAA5XW1tRRHwBSAYA.jpg	Snowden names the true scandal related to Biden documents The discovery of secret government documents in an old office of US President Joe Biden is currently making furore in the USA. According to whistleblower Edward Snowden, the real scandal here is that the news about it was suppressed days before the US elections.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVxYBkUpUUFXBgtTXVxXQS9cGwUB.jpg	Twitter files, part 14: Russian bots? A massive delusion The Twitter files are becoming more embarrassing, especially for the US Democrats. The Russian bots, whose existence they claimed, never existed after investigations by Twitter. The Democrats simply created their own source, which provided the desired information...
/content/MediaEval_NewsImages/Training Dataset/UVYLVVxbVRApUUFXBgtUUF0DQntSHFID.jpg	Driving instructors beat alarm: riders always unconcentrated More and more pupils fall in Germany through driving licence testing. Driving instructors think that the students become more inattentive and lead this to the excessive use of smartphones.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVteBBF-XR8FAA5WWlpSQi0AT1FW.jpg	Russia for the Turkish support of Selensky's Peace Plan: An unacceptable proposal Turkey's support for the so-called peace plan of Ukrainian President Vladimir Selensky does not alter the fact that Russia considers it unacceptable, said Russian Foreign Ministry spokesman Maria Sacharowa on Thursday.
/content/MediaEval_NewsImages/Training Dataset/UVYLVV1VUkN-XR8FAA5XWAtQRHpVGAVT.jpg	CNN reports on the release of a US Marine in Russia CNN reported that the USmarine Taylor was released in Russia. According to the TV station, there had been tacit negotiations for about nine months on the release of the American, who had been arrested at the border crossing in Russia.
/content/MediaEval_NewsImages/Training Dataset/UVYLVVtbARB-XR8FAA5WW1tdR3sGQFNd.jpg	Indian submarine is stuck for sanctions in Russia The Indian Navy encounters difficulties in picking up a submarine repaired in the Russian city of Sewerodwinsk from Russia. A source of Times of India claims that there are also problems with other Russian equipment in India.
/content/MediaEval_NewsImages/Training Dataset/UVYLVV0MUUUpUUFXBgtTXVxXQS9cGwYB.jpg	Can Bolsonaro stay in the USA? In the US Congress, discussions about his right to stay Two days before the end of his term of office, Brazil's ex-president Jair Bolsonaro travelled to the USA without prior notice – most likely with a diplomatic visa. Numerous press media called the extraordinary process as escape. He refused to hand over to his successor, the new President Luiz Inácio Lula da Silva, the President's Shepherd and thus to acknowledge the election.
/content/MediaEval_NewsImages/Training Dataset/UVYLVV8OXEZ-XR8FAA5XW1sERy9dGgNR.jpg	Podoljakas Overview of the Ukraine War: Russia's victory in Soledar For the first time since Mariupol, Russia has succeeded in enriching a larger grouping of Ukrainian armed formations.
